,Number of Floors in Project,Number of Rooms in Floor,Number of Spins in Floor,Organization_AH4R Acquisitions,Organization_ARTHURIMMO H3M,Organization_Academedia 2020,Organization_Academedia Production,Organization_American Family Insurance,Organization_Arthurimmo,Organization_Blue Crown Properties,Organization_Blue Fence,Organization_Bluefax PM,Organization_Camber Property Management & Leasing,Organization_Class Valuation,Organization_Coastal Dreamin,Organization_Construyela.com,Organization_DECORDIER immobilier,Organization_Dieter Company,Organization_FirstKey Memphis,Organization_GREE,Organization_Gaston,Organization_HomeAway Merges,Organization_Hometrack,Organization_Immo Schroeven,Organization_InsideMaps VIP,Organization_Invitation Homes,Organization_JM Corporation,Organization_Jacquelin Bennett,Organization_Jeff Reeves,Organization_Julia (test),Organization_KW Boise,Organization_Mb Vacation Rentals,Organization_Meero Organization,Organization_MilosOrg,Organization_My personal Space (DG),Organization_Mynd,Organization_Mynd - New Market,Organization_Mynd Nevada,Organization_Mynd Texas,Organization_Mynd Washington,Organization_NWA Visual Marketing,Organization_Newsec Finland,Organization_No org,Organization_OfferPad,Organization_Offerpad ATL Acquisitions,Organization_Offerpad ATL Dispositions,Organization_Offerpad Charlotte Acquisitions,Organization_Offerpad Charlotte Dispositions,Organization_Offerpad Florida Acquisitions,Organization_Offerpad Florida Dispositions,Organization_Offerpad Houston Acquisitions,Organization_Offerpad Houston Dispositions,Organization_Offerpad Phoenix Acquisitions,Organization_Offerpad Phoenix Dispositions,Organization_Pavkenator,Organization_Progress Inspection Demo,Organization_Property Frameworks,Organization_Property Frameworks - ATL,Organization_Property Frameworks - Austin,Organization_Property Frameworks - Florida,Organization_Property Frameworks - Hawaii,Organization_Property Frameworks - Houston,Organization_Property Frameworks - N/S Carolinas,Organization_Property Frameworks - OKC/Tulsa,Organization_Property Frameworks - PHX,Organization_Property Frameworks - Pennsylvania,Organization_Property Frameworks - San Antonio,Organization_Rent-A-HERO,Organization_Rent-A-Scanner,Organization_Res and Ranch Real Estate Group,Organization_Rocket Homes Marketing,Organization_Royal Lepage Turner Realty (2014) Inc.,Organization_SES - FloraVista Realty,Organization_SES - Maria Lopez-Jones,Organization_Scanner Merges,Organization_Southern Vacation Rentals,Organization_Specialized Property Management,Organization_Specialized Property Management Atlanta,Organization_Specialized Property Management Orlando,Organization_Sunny Maui Vacations,Organization_Test Inspection,Organization_The Property Management Connection,Organization_Theta V - 01,Organization_Tomas Kirielius,Organization_Tricon ATL,Organization_Tricon Charlotte,Organization_Tricon Columbia,Organization_Tricon DFW,Organization_Tricon Houston,Organization_Tricon Indianapolis,Organization_Tricon Jacksonville,Organization_Tricon Las Vegas,Organization_Tricon Merges,Organization_Tricon Nashville,Organization_Tricon Norcal,Organization_Tricon Orlando,Organization_Tricon PHX,Organization_Tricon Raleigh,Organization_Tricon SE Florida,Organization_Tricon SoCal,Organization_Tricon Tampa,Organization_TrueLane Homes,Organization_TurnKeyVR,Organization_Village Realty,Organization_Virtuance,Organization_Virtuance Test Scans,Organization_Virtuance merge,Organization_WotherspoonTeam,Organization_danicaOrganizacija,Organization_runesus,Floor Name_111,Floor Name_1 er Etage,Floor Name_6th floor,Floor Name_APPARTEMENT,Floor Name_Accessory 1/Unit 3/Fifth Floor,Floor Name_Accessory 1/Unit 4/Fifth Floor,Floor Name_Accessory 2/Unit 3/Fifth Floor,Floor Name_Basement,Floor Name_Basement - Unit 2,Floor Name_Basement Floor,Floor Name_Basement Merge,Floor Name_Bottenvåning,Floor Name_Deck,Floor Name_Detached Floor,Floor Name_Detached Garage,Floor Name_Detached Laundry,Floor Name_Detached Structure,Floor Name_Detached Structure-1,Floor Name_Detached Structures,Floor Name_Detached Structures 1,Floor Name_Detached garage,Floor Name_Detached garage on Ground floor,Floor Name_Dwelling 1/Unit 2/Below Grade 2,Floor Name_Dwelling 1/Unit 2/First Floor,Floor Name_Dwelling 2/Unit 1/Basement,Floor Name_Dwelling 2/Unit 2/Basement,Floor Name_Exterior,Floor Name_Fifth Floor,Floor Name_First Floor,Floor Name_Fourth Floor,Floor Name_Ground Floor,Floor Name_Guest House,Floor Name_Guest House - Upper Floor,Floor Name_Lower Level,Floor Name_MERGE,Floor Name_Main Level,Floor Name_Merge,Floor Name_Merge 2020,Floor Name_Merge-01,Floor Name_NEW,Floor Name_Outside Floor,Floor Name_Pool,Floor Name_Prizemlje,Floor Name_Rez - de - Chausée,Floor Name_Roof,Floor Name_Second Floor,Floor Name_Second Floor Merge,Floor Name_Sixth Floor,Floor Name_Sous-Sol,Floor Name_Third Floor,Floor Name_TrdFlor,Floor Name_Undervåningen,Floor Name_Unit #1,Floor Name_Unit #2,Floor Name_merge,Floor Name_merge-1,Floor Name_new,Floor Name_Основной Этаж
1121,1,25,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,1,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1397,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
422,2,12,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,3,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1435,2,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1474,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1888,4,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1577,2,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
